depth	totdepth	one	half	err	het
5	4783	4649	21	113	0.44967880085653106
6	4357	4238	15	104	0.3526922172584058
7	3811	3701	24	86	0.6442953020134228
8	3357	3305	10	42	0.301659125188537
9	2952	2891	10	51	0.3447087211306446
10	2847	2782	11	54	0.39384174722520593
11	2550	2503	11	36	0.4375497215592681
12	2691	2633	8	50	0.3029155622870125
13	2377	2313	11	53	0.47332185886402756
14	2351	2313	8	30	0.34467901766479964
15	2165	2137	9	19	0.4193849021435228
16	2034	2002	4	28	0.19940179461615154
17	2066	2044	7	15	0.3412969283276451
18	1864	1836	6	22	0.32573289902280134
19	1976	1943	2	31	0.10282776349614395
20	1716	1697	10	9	0.5858230814294083
21	1797	1764	5	28	0.2826455624646693
22	1645	1615	6	24	0.3701418877236274
23	1543	1527	5	11	0.3263707571801566
24	1709	1689	6	14	0.35398230088495575
25	1759	1743	2	14	0.1146131805157593
26	1810	1797	5	8	0.27746947835738067
27	1863	1844	10	9	0.5393743257820928
28	1836	1824	2	10	0.10952902519167579
29	1913	1897	8	8	0.4199475065616798
30	1975	1963	3	9	0.1525940996948118
31	1984	1963	9	12	0.4563894523326572
32	1978	1967	4	7	0.20294266869609334
33	2036	2020	6	10	0.29615004935834155
34	2128	2104	13	11	0.6140765233821445
35	2334	2314	7	13	0.3015941404566997
36	2533	2518	6	9	0.2377179080824089
37	2485	2457	5	23	0.20308692120227456
38	2468	2450	8	10	0.32546786004882017
39	2463	2454	5	4	0.20333468889792597
40	2691	2668	10	13	0.37341299477221807
41	2926	2913	6	7	0.20554984583761562
42	2972	2958	4	10	0.1350438892640108
43	3129	3110	6	13	0.19255455712451863
44	3275	3257	5	13	0.15328019619865113
45	3404	3391	11	2	0.32333921222810114
46	3534	3516	6	12	0.17035775127768313
47	3879	3861	10	8	0.25833118057349524
48	3964	3953	9	2	0.2271580010095911
49	4164	4153	9	2	0.2162421912542047
50	4321	4299	14	8	0.3246000463714352
51	4597	4584	11	2	0.2393906420021763
52	4778	4765	7	6	0.14668901927912825
53	5149	5134	9	6	0.174995139023916
54	5595	5568	17	10	0.3043867502238138
55	6175	6152	18	5	0.2917341977309562
56	6411	6385	17	9	0.2655420181193377
57	7148	7125	17	6	0.2380285634276113
58	7647	7630	11	6	0.14396021463159273
59	8494	8464	24	6	0.2827521206409048
60	9031	9010	15	6	0.16620498614958448
61	9834	9805	21	8	0.21371870547526967
62	10537	10512	17	8	0.1614588279988603
63	11459	11418	29	12	0.25334148685245045
64	12558	12525	25	8	0.199203187250996
65	13584	13550	30	4	0.22091310751104565
66	14733	14699	31	3	0.21045485403937544
67	15829	15778	49	2	0.30959752321981426
68	17214	17168	39	7	0.22665194397628874
69	18704	18652	44	8	0.23534445870774498
70	19894	19852	34	8	0.17097455496329075
71	21973	21936	33	4	0.1502116618872047
72	23317	23257	51	9	0.21880899262055947
73	25360	25301	52	7	0.20510393247347453
74	27097	27041	51	5	0.18824745312269303
75	28765	28698	58	9	0.2016970371400751
76	30845	30788	49	8	0.15890002270000325
77	32855	32795	51	9	0.1552700481032698
78	34578	34508	63	7	0.1822336640536866
79	36205	36122	75	8	0.20719949167058044
80	37712	37620	81	11	0.21484841250895204
81	39402	39312	85	5	0.21575246846206564
82	41576	41473	94	9	0.22614092910241296
83	42700	42559	127	14	0.29752143559949396
84	43529	43413	111	5	0.2550317066446099
85	45311	45187	112	12	0.24724607607231947
86	46549	46410	127	12	0.2729011324322582
87	47640	47462	155	23	0.3255139971018754
88	48810	48640	154	16	0.31561257531663733
89	49514	49360	141	13	0.2848427304498899
90	50053	49875	169	9	0.337702821517065
91	50428	50236	186	6	0.36888659712030464
92	51881	51678	192	11	0.37015615962984383
93	51365	51154	204	7	0.397211729428716
94	51714	51480	232	2	0.4486386138613861
95	51646	51430	210	6	0.40666150271107665
96	51220	50951	258	11	0.503817688296979
97	51142	50860	271	11	0.5300111478359508
98	51308	51009	284	15	0.5536817889380617
99	50393	50097	289	7	0.5735720239749137
100	49907	49562	336	9	0.6733736823119163
101	49733	49371	355	7	0.7139122390701041
102	49286	48882	397	7	0.8056169970981554
103	49446	48981	460	5	0.9304018931655913
104	48908	48439	458	11	0.9366627809477064
105	48701	48235	458	8	0.9405869426816995
106	48420	47877	532	11	1.0989691999421596
107	48947	48348	595	4	1.2156998957971519
108	49116	48555	556	5	1.1321292582109914
109	48834	48201	628	5	1.2861209527125275
110	49002	48388	610	4	1.2449487734193232
111	49265	48561	700	4	1.4210024157041068
112	49695	48940	750	5	1.5093580197222782
113	50236	49520	712	4	1.4174231565535913
114	51691	50859	827	5	1.600046434237511
115	52560	51622	934	4	1.7771519902580104
116	53160	52216	941	3	1.77022781571571
117	54582	53562	1015	5	1.859757773421038
118	56042	54930	1109	3	1.9789789253912453
119	57624	56507	1114	3	1.9333229204630258
120	59495	58372	1117	6	1.8776580544302308
121	61271	59952	1315	4	2.1463430558049197
122	63146	61854	1289	3	2.041398096384397
123	65516	64069	1445	2	2.2056354367005526
124	67345	65855	1485	5	2.2052272052272053
125	70512	68913	1597	2	2.264926960714792
126	73253	71611	1641	1	2.240211871348223
127	75309	73557	1751	1	2.3251181813353163
128	78020	76176	1837	7	2.3547357491700103
129	80453	78565	1887	1	2.345497936657883
130	83270	81264	2004	2	2.4066868424845076
131	86853	84698	2152	3	2.4778353483016695
132	90414	88201	2210	3	2.4443928283062903
133	95016	92708	2304	4	2.424956847556098
134	99494	97140	2353	1	2.364990501844351
135	103894	101329	2557	8	2.461351866469014
136	108775	106043	2730	2	2.509814016345968
137	114447	111604	2840	3	2.481563035196253
138	118271	115382	2887	2	2.441045413421945
139	122854	119796	3055	3	2.4867522445889736
140	128894	125643	3247	4	2.5192024206687873
141	134239	130843	3391	5	2.5261856161628202
142	139068	135521	3539	8	2.5449446282180355
143	145817	142118	3694	5	2.5333991715359505
144	151401	147675	3720	6	2.457148518775389
145	158074	154101	3971	2	2.5121463636823727
146	164729	160503	4220	6	2.5618766049671264
147	171969	167616	4351	2	2.530136595974809
148	178966	174378	4582	6	2.5603486812695575
149	186583	181664	4916	3	2.6347947261228426
150	194573	189592	4980	1	2.559463848858006
151	202910	197791	5118	1	2.522312958025519
152	211965	206458	5504	3	2.5966918598616733
153	220639	215044	5594	1	2.535374686137474
154	229961	224178	5780	3	2.513502465667644
155	237791	231666	6119	6	2.5733330529680174
156	247378	241126	6248	4	2.525730270764106
157	257618	251200	6415	3	2.490150030083652
158	264363	257823	6537	3	2.4727644121652292
159	274867	267973	6890	4	2.506703339481851
160	282868	275759	7107	2	2.5124970834246607
161	292583	285138	7439	6	2.542578534881416
162	301513	294198	7311	4	2.4248032397042873
163	310008	302293	7710	5	2.487072705748009
164	317509	309635	7872	2	2.479315416667979
165	326051	318087	7957	7	2.4404681576719707
166	334894	326685	8206	3	2.4503495167084215
167	343052	334642	8405	5	2.450101589578104
168	349998	341537	8457	4	2.416327137036635
169	356103	347513	8586	4	2.411127242704978
170	360928	352203	8724	1	2.417109276945199
171	367896	358974	8919	3	2.4243462093597867
172	372818	363973	8842	3	2.3716856886123145
173	376827	367811	9015	1	2.3923508462791845
174	379756	370641	9109	6	2.3986833443054643
175	382881	373840	9037	4	2.360288029837258
176	385633	376631	8993	9	2.3320643943323027
177	386315	377304	9008	3	2.331793990349769
178	388745	379796	8945	4	2.3010179013790673
179	387312	378171	9137	4	2.359104382042199
180	386689	377774	8906	9	2.3031964415020174
181	386649	377747	8900	2	2.301841214337626
182	384508	375601	8903	4	2.3154505544805777
183	382229	373653	8572	4	2.2426581202171496
184	377004	368422	8576	6	2.2748131289821165
185	372209	363729	8479	1	2.2780273395520783
186	368206	359960	8242	4	2.238445201275387
187	362180	354043	8136	1	2.2464030217102593
188	354331	346435	7891	5	2.227045150511111
189	346563	338937	7622	4	2.199336909443991
190	339011	331528	7481	2	2.20672607511895
191	330613	323498	7113	2	2.1514710641811674
192	321505	314642	6861	2	2.1340391847043416
193	311165	304555	6607	3	2.123331255101844
194	300096	293699	6395	2	2.130998953661186
195	291081	284881	6199	1	2.1296550776418854
196	279522	273695	5823	4	2.08322898704198
197	267572	262050	5521	1	2.0633775708129805
198	257867	252594	5273	0	2.0448525790426846
199	246439	241395	5040	4	2.0451640391989776
200	235577	230806	4771	0	2.025240155023623
201	223616	219122	4493	1	2.009256981866154
202	213150	208751	4396	3	2.0624264005592385
203	202565	198470	4094	1	2.0210896309314585
204	190676	186898	3778	0	1.9813715412532253
205	180466	176825	3640	1	2.0170116088992325
206	170331	167023	3306	2	1.9409495740596139
207	159879	156744	3131	4	1.958405003909304
208	149616	146782	2834	0	1.8941824403807082
209	140368	137712	2656	0	1.8921691553630458
210	130651	128190	2461	0	1.8836442124438388
211	122163	119789	2372	2	1.9416998878529153
212	113151	110928	2221	2	1.9628984789967212
213	105659	103730	1926	3	1.8228969485878699
214	98369	96577	1792	0	1.8217121247547499
215	91029	89345	1682	2	1.8478033989915081
216	84348	82839	1508	1	1.787852561442612
217	78288	76914	1374	0	1.7550582464745552
218	72275	70983	1291	1	1.7862578520629824
219	67172	65945	1225	2	1.8237308322167634
220	61773	60670	1102	1	1.7839797966716313
221	57065	56099	964	2	1.6893608818323607
222	52873	51964	906	3	1.713637223378097
223	48223	47391	831	1	1.7232798307826303
224	44854	44100	754	0	1.6810094974807153
225	40860	40175	685	0	1.676456191874694
226	38086	37426	660	0	1.7329202331565405
227	34883	34322	560	1	1.605412533684995
228	32213	31667	545	1	1.691916056128151
229	30002	29505	496	1	1.6532782240591979
230	27755	27342	413	0	1.4880201765447667
231	25481	25049	432	0	1.695380872022291
232	23864	23487	376	1	1.5756610652474543
233	22251	21894	355	2	1.5955773293181714
234	20803	20442	359	2	1.7258785635305993
235	19407	19106	299	2	1.540839989693378
236	18500	18207	292	1	1.5784637007405806
237	17749	17437	310	2	1.746774102665239
238	16518	16247	269	2	1.6287236619036087
239	15811	15549	262	0	1.6570741888558598
240	15000	14781	217	2	1.4468595812775038
241	14276	14042	234	0	1.63911459792659
242	13770	13547	223	0	1.619462599854757
243	13251	13029	222	0	1.6753452569617386
244	12681	12499	176	6	1.388560157790927
245	12147	11934	211	2	1.737340469328942
246	11914	11752	162	0	1.3597448380057076
247	11610	11401	208	1	1.7917133258678613
248	11416	11223	193	0	1.6906096706377014
249	11234	11038	195	1	1.7359565565743789
250	10994	10826	168	0	1.5281062397671457
